SOURCEID,SAMPLEID,LONWGS84,LATWGS84,UHDICM,LHDICM,ORCDRC,BLD
Alterra_454,454_4,5.863424566,51.7296907,78,106,2.320185615,NA
Alterra_454,454_5,5.863424566,51.7296907,106,145,1.160092807,NA
Alterra_454,454_6,5.863424566,51.7296907,145,192,1.740139211,NA
Alterra_467,467_1,5.718082822,51.7377418,0,20,24.94199536,NA
Alterra_467,467_2,5.718082822,51.7377418,20,34,25.52204176,NA
Alterra_467,467_4,5.718082822,51.7377418,40,48,1.160092807,NA
Alterra_467,467_5,5.718082822,51.7377418,55,70,1.160092807,NA
Alterra_467,467_6,5.718082822,51.7377418,90,110,1.160092807,NA
Alterra_476,476_1,5.661249226,51.64072247,0,25,27.84222738,NA
Alterra_476,476_2,5.661249226,51.64072247,25,40,27.84222738,NA
Alterra_476,476_3,5.661249226,51.64072247,80,95,21.46171694,NA
Alterra_476,476_4,5.661249226,51.64072247,95,115,6.380510441,NA
Alterra_488,488_1,5.711169487,51.55093323,0,30,38.86310905,NA
Alterra_488,488_2,5.711169487,51.55093323,30,50,33.06264501,NA
Alterra_488,488_3,5.711169487,51.55093323,50,70,33.64269142,NA
Alterra_488,488_4,5.711169487,51.55093323,70,90,2.900232019,NA
Alterra_490,490_1,5.607250146,51.51319824,0,30,14.50116009,NA
Alterra_490,490_2,5.607250146,51.51319824,40,60,4.64037123,NA
Alterra_490,490_3,5.607250146,51.51319824,80,100,4.64037123,NA
Alterra_490,490_4,5.607250146,51.51319824,110,120,4.060324826,NA
Alterra_514,514_1,5.4849054,51.56190339,0,20,22.04176334,NA
Alterra_514,514_2,5.4849054,51.56190339,20,40,11.60092807,NA
Alterra_514,514_3,5.4849054,51.56190339,40,60,7.540603248,NA
Alterra_514,514_4,5.4849054,51.56190339,70,90,8.700696056,NA
Alterra_521,521_1,5.495185287,51.48818757,0,30,15.0812065,NA
Alterra_521,521_2,5.495185287,51.48818757,30,60,11.60092807,NA
Alterra_521,521_3,5.495185287,51.48818757,60,80,8.120649652,NA
Alterra_521,521_4,5.495185287,51.48818757,80,110,1.740139211,NA
Alterra_521,521_5,5.495185287,51.48818757,110,120,0.580046404,NA
Alterra_527,527_1,5.419148064,51.46504251,0,23,25.52204176,NA
Alterra_527,527_2,5.419148064,51.46504251,23,35,12.18097448,NA
Alterra_527,527_3,5.419148064,51.46504251,35,50,4.060324826,NA
Alterra_527,527_4,5.419148064,51.46504251,50,90,0,NA
Alterra_527,527_6,5.419148064,51.46504251,150,170,0,NA
Alterra_544,544_1,4.353828295,51.53310626,0,30,16.82134571,NA
Alterra_544,544_2,4.353828295,51.53310626,30,40,7.540603248,NA
Alterra_544,544_3,4.353828295,51.53310626,40,55,4.060324826,NA
Alterra_544,544_4,4.353828295,51.53310626,55,80,2.320185615,NA
Alterra_557,557_1,4.276091214,51.39359677,0,30,12.18097448,NA
Alterra_557,557_2,4.276091214,51.39359677,30,60,11.02088167,NA
Alterra_557,557_3,4.276091214,51.39359677,60,100,2.320185615,NA
Alterra_557,557_4,4.276091214,51.39359677,100,120,8.700696056,NA
Alterra_565,565_1,4.119259381,51.53538065,0,25,26.10208817,NA
Alterra_565,565_2,4.119259381,51.53538065,25,40,16.82134571,NA
Alterra_565,565_3,4.119259381,51.53538065,40,50,13.34106729,NA
Alterra_565,565_4,4.119259381,51.53538065,50,60,12.18097448,NA
Alterra_568,568_1,4.292151123,51.56553521,0,30,9.280742459,NA
Alterra_568,568_2,4.292151123,51.56553521,30,70,0.580046404,NA
Alterra_568,568_3,4.292151123,51.56553521,70,90,0,NA
Alterra_573,573_1,4.15773462,51.39987002,0,30,12.18097448,NA
Alterra_573,573_2,4.15773462,51.39987002,30,45,8.120649652,NA
Alterra_573,573_3,4.15773462,51.39987002,45,70,2.320185615,NA
Alterra_573,573_4,4.15773462,51.39987002,70,95,1.160092807,NA
Alterra_573,573_5,4.15773462,51.39987002,95,120,2.320185615,NA
Alterra_574,574_1,3.891217651,51.42156717,0,30,18.56148492,NA
Alterra_574,574_2,3.891217651,51.42156717,30,40,2.900232019,1.447
Alterra_574,574_3,3.891217651,51.42156717,40,70,0.580046404,1.433
Alterra_574,574_4,3.891217651,51.42156717,70,100,0.580046404,1.451
Alterra_582,582_1,4.026962165,51.4935292,4,9,84.68677494,NA
Alterra_582,582_2,4.026962165,51.4935292,20,25,40.02320186,NA
Alterra_582,582_3,4.026962165,51.4935292,45,50,3.480278422,NA
Alterra_582,582_4,4.026962165,51.4935292,85,90,1.740139211,NA
Alterra_596,596_1,3.947303241,51.4622781,0,20,15.0812065,NA
Alterra_596,596_2,3.947303241,51.4622781,20,50,8.700696056,NA
Alterra_596,596_3,3.947303241,51.4622781,50,110,9.860788863,NA
Alterra_602,602_1,3.916831996,51.51008406,10,15,16.2412993,1.661
Alterra_602,602_2,3.916831996,51.51008406,30,35,16.82134571,1.465
Alterra_602,602_3,3.916831996,51.51008406,60,65,13.34106729,1.379
Alterra_602,602_4,3.916831996,51.51008406,90,95,8.120649652,1.468
Alterra_609,609_1,3.818130858,51.38725333,0,30,15.6612529,NA
Alterra_609,609_2,3.818130858,51.38725333,30,40,8.120649652,NA
Alterra_609,609_3,3.818130858,51.38725333,42,52,6.380510441,NA
Alterra_609,609_4,3.818130858,51.38725333,53,59,6.380510441,NA
Alterra_609,609_5,3.818130858,51.38725333,61,75,5.220417633,NA
Alterra_609,609_6,3.818130858,51.38725333,77,95,5.220417633,NA
Alterra_609,609_7,3.818130858,51.38725333,100,120,6.380510441,NA
Alterra_625,625_1,3.863598731,51.49717527,0,30,17.98143852,NA
Alterra_625,625_2,3.863598731,51.49717527,30,40,5.800464037,NA
Alterra_625,625_4,3.863598731,51.49717527,90,110,5.220417633,NA
Alterra_635,635_1,3.730686112,51.41728463,0,22,12.18097448,NA
Alterra_635,635_2,3.730686112,51.41728463,22,34,5.220417633,NA
Alterra_635,635_3,3.730686112,51.41728463,34,52,2.900232019,NA
Alterra_635,635_4,3.730686112,51.41728463,52,73,2.900232019,NA
Alterra_635,635_5,3.730686112,51.41728463,73,90,4.060324826,NA
Alterra_635,635_6,3.730686112,51.41728463,90,120,5.220417633,NA
Alterra_636,636_1,3.713991706,51.46276199,0,12,29.00232019,NA
Alterra_636,636_2,3.713991706,51.46276199,12,24,34.80278422,NA
Alterra_636,636_3,3.713991706,51.46276199,24,40,28.42227378,NA
Alterra_638,638_1,3.704462,51.44217198,0,25,9.860788863,NA
Alterra_638,638_2,3.704462,51.44217198,25,38,4.060324826,NA
Alterra_638,638_3,3.704462,51.44217198,38,70,1.160092807,NA
Alterra_638,638_4,3.704462,51.44217198,70,105,1.740139211,NA
Alterra_638,638_5,3.704462,51.44217198,105,120,0.580046404,NA
Alterra_663,663_2,5.25725761,51.56474867,5,10,33.06264501,NA
Alterra_663,663_3,5.25725761,51.56474867,15,20,34.22273782,NA
Alterra_663,663_4,5.25725761,51.56474867,25,30,12.76102088,NA
Alterra_663,663_5,5.25725761,51.56474867,45,55,2.320185615,NA
Alterra_669,669_1,5.427519211,51.49272496,0,25,33.06264501,NA
Alterra_669,669_2,5.427519211,51.49272496,25,35,27.84222738,NA
Alterra_669,669_4,5.427519211,51.49272496,43,67,3.480278422,NA
Alterra_669,669_5,5.427519211,51.49272496,67,80,0,NA
Alterra_669,669_6,5.427519211,51.49272496,80,100,0.580046404,NA
Alterra_694,694_1,4.785987661,51.41374564,13,18,22.62180974,1.449
Alterra_694,694_2,4.785987661,51.41374564,38,43,11.60092807,1.375
Alterra_694,694_3,4.785987661,51.41374564,53,58,2.320185615,1.501
Alterra_694,694_4,4.785987661,51.41374564,63,68,4.64037123,1.376
Alterra_694,694_5,4.785987661,51.41374564,95,100,0,1.376
Alterra_694,694_6,4.785987661,51.41374564,100,105,0.580046404,1.598
Alterra_724,724_1,4.843899735,51.52985082,5,20,15.0812065,NA
Alterra_724,724_3,4.843899735,51.52985082,30,55,3.480278422,NA
Alterra_724,724_5,4.843899735,51.52985082,70,90,1.740139211,NA
Alterra_726,726_1,4.823675566,51.50467625,10,25,20.30162413,NA
Alterra_726,726_2,4.823675566,51.50467625,30,50,5.220417633,NA
Alterra_726,726_3,4.823675566,51.50467625,65,80,18.56148492,NA
Alterra_726,726_4,4.823675566,51.50467625,95,110,2.900232019,NA
Alterra_729,729_1,4.513352427,51.48955275,5,25,35.38283063,NA
Alterra_729,729_3,4.513352427,51.48955275,50,80,1.740139211,NA
Alterra_729,729_4,4.513352427,51.48955275,80,120,1.740139211,NA
Alterra_730,730_1,4.458790267,51.4749288,5,35,22.62180974,NA
Alterra_730,730_2,4.458790267,51.4749288,40,60,11.60092807,NA
Alterra_730,730_3,4.458790267,51.4749288,80,100,4.64037123,NA
Alterra_741,741_1,4.339328269,51.38051849,0,28,38.28306265,NA
Alterra_741,741_2,4.339328269,51.38051849,28,40,20.88167053,NA
Alterra_741,741_3,4.339328269,51.38051849,40,60,2.320185615,NA
Alterra_741,741_4,4.339328269,51.38051849,60,110,2.320185615,NA
Alterra_744,744_1,4.65915699,51.56507111,5,30,19.72157773,NA
Alterra_744,744_2,4.65915699,51.56507111,40,70,17.40139211,NA
Alterra_744,744_4,4.65915699,51.56507111,100,120,0.580046404,NA
Alterra_746,746_1,4.416552021,51.53184635,10,20,19.14153132,1.439
Alterra_746,746_2,4.416552021,51.53184635,20,30,17.98143852,1.461
Alterra_746,746_3,4.416552021,51.53184635,30,40,20.30162413,1.472
Alterra_746,746_4,4.416552021,51.53184635,40,50,13.92111369,1.404
Alterra_746,746_5,4.416552021,51.53184635,50,58,9.280742459,1.502
Alterra_746,746_6,4.416552021,51.53184635,58,70,4.060324826,1.57
Alterra_746,746_7,4.416552021,51.53184635,80,90,2.320185615,1.688
Alterra_749,749_1,4.383802231,51.54640186,5,30,17.40139211,NA
Alterra_749,749_2,4.383802231,51.54640186,50,70,4.060324826,NA
Alterra_749,749_3,4.383802231,51.54640186,80,100,5.800464037,NA
Alterra_763,763_1,3.82109023,51.24443951,0,25,12.76102088,NA
Alterra_763,763_2,3.82109023,51.24443951,25,50,1.740139211,NA
Alterra_763,763_3,3.82109023,51.24443951,50,70,1.740139211,NA
Alterra_763,763_4,3.82109023,51.24443951,70,100,2.320185615,NA
Alterra_763,763_5,3.82109023,51.24443951,100,120,5.220417633,NA
Alterra_765,765_1,6.409792225,51.88610966,5,20,15.6612529,NA
Alterra_765,765_2,6.409792225,51.88610966,30,45,2.320185615,NA
Alterra_765,765_3,6.409792225,51.88610966,50,65,2.320185615,NA
Alterra_765,765_4,6.409792225,51.88610966,70,80,2.320185615,NA
Alterra_765,765_5,6.409792225,51.88610966,90,105,2.320185615,NA
Alterra_765,765_6,6.409792225,51.88610966,115,125,1.740139211,NA
Alterra_782,782_1,6.393735358,51.83393287,0,5,34.80278422,NA
Alterra_782,782_2,6.393735358,51.83393287,10,20,11.60092807,NA
Alterra_782,782_3,6.393735358,51.83393287,25,40,6.380510441,NA
Alterra_782,782_4,6.393735358,51.83393287,50,65,0.580046404,NA
Alterra_782,782_5,6.393735358,51.83393287,80,120,2.900232019,NA
Alterra_798,798_1,6.458143787,51.93403917,5,20,27.26218097,NA
Alterra_798,798_2,6.458143787,51.93403917,30,50,25.52204176,NA
Alterra_798,798_3,6.458143787,51.93403917,75,90,19.14153132,NA
Alterra_798,798_4,6.458143787,51.93403917,100,110,12.76102088,NA
Alterra_798,798_5,6.458143787,51.93403917,120,130,1.740139211,NA
Alterra_815,815_1,6.044113476,51.89160083,0,30,23.20185615,NA
Alterra_815,815_2,6.044113476,51.89160083,30,67,5.800464037,NA
Alterra_815,815_3,6.044113476,51.89160083,67,100,6.960556845,NA
Alterra_815,815_4,6.044113476,51.89160083,100,115,6.380510441,NA
Alterra_825,825_1,3.959984859,51.65904055,0,35,11.60092807,1.5
Alterra_825,825_2,3.959984859,51.65904055,35,59,2.900232019,1.5
Alterra_825,825_3,3.959984859,51.65904055,59,120,1.740139211,1.5
Alterra_825,825_4,3.959984859,51.65904055,120,160,7.540603248,NA
Alterra_827,827_1,3.967376184,51.65841126,0,27,13.92111369,NA
Alterra_827,827_2,3.967376184,51.65841126,27,40,2.320185615,NA
Alterra_827,827_3,3.967376184,51.65841126,40,55,5.220417633,NA
Alterra_831,831_1,3.989800356,51.68115527,0,25,13.92111369,NA
Alterra_831,831_2,3.989800356,51.68115527,25,37,2.320185615,NA
Alterra_831,831_3,3.989800356,51.68115527,37,60,2.320185615,NA
Alterra_831,831_4,3.989800356,51.68115527,60,95,0,NA
Alterra_831,831_5,3.989800356,51.68115527,95,130,1.740139211,NA
Alterra_836,836_2,4.194563433,51.807382,25,40,31.3225058,NA
Alterra_836,836_4,4.194563433,51.807382,50,70,11.60092807,NA
Alterra_836,836_7,4.194563433,51.807382,100,120,17.98143852,NA
Alterra_840,840_1,3.827607397,51.57859927,0,35,13.34106729,NA
Alterra_840,840_2,3.827607397,51.57859927,35,55,6.380510441,NA
